========================================================
  Multi-seed benchmark: ms=3, 2M steps
  Algos: ['PPO']
  Seeds: [0, 1, 42]
  Total runs: 3
  Started: 2026-03-03 07:29:13
========================================================

--------------------------------------------------------
  [1/3]  PPO  seed=0
  07:29:13
--------------------------------------------------------

=======================================================
  billiards-rl — PPO  |  2,000,000 steps  |  seed 0  |  env multi3(ms=3)
  exp_dir : logs/experiments/PPO_2000k_s0_multi3_ms3_sp0.1_tp1.0_20260303_072913
=======================================================

[1/3] Random agent baseline (500 episodes)...
      Random pocket rate: 8.6%  (avg 0.26/3 balls)

[2/3] Training PPO — 2,000,000 steps × 10 envs ...
/Users/yj/Documents/billiards-rl/.venv/lib/python3.13/site-packages/stable_baselines3/common/callbacks.py:418: UserWarning: Training and eval env are not of the same type<stable_baselines3.common.vec_env.subproc_vec_env.SubprocVecEnv object at 0x11545e510> != <stable_baselines3.common.vec_env.dummy_vec_env.DummyVecEnv object at 0x116bf5a90>
  warnings.warn("Training and eval env are not of the same type" f"{self.training_env} != {self.eval_env}")
[ETA] step 1,610,000 / 2,000,000 (80.5%)  elapsed 11.0m  ETA 00:02:39  fps 2447
[ETA] step 1,620,000 / 2,000,000 (81.0%)  elapsed 11.0m  ETA 00:02:35  fps 2451
[ETA] step 1,630,000 / 2,000,000 (81.5%)  elapsed 11.1m  ETA 00:02:30  fps 2455
[ETA] step 1,640,000 / 2,000,000 (82.0%)  elapsed 11.1m  ETA 00:02:26  fps 2458
[ETA] step 1,650,000 / 2,000,000 (82.5%)  elapsed 11.2m  ETA 00:02:22  fps 2462
[ETA] step 1,660,000 / 2,000,000 (83.0%)  elapsed 11.2m  ETA 00:02:17  fps 2465
[ETA] step 1,670,000 / 2,000,000 (83.5%)  elapsed 11.3m  ETA 00:02:13  fps 2469
[ETA] step 1,680,000 / 2,000,000 (84.0%)  elapsed 11.3m  ETA 00:02:09  fps 2473
[ETA] step 1,690,000 / 2,000,000 (84.5%)  elapsed 11.4m  ETA 00:02:05  fps 2477
[ETA] step 1,700,000 / 2,000,000 (85.0%)  elapsed 11.4m  ETA 00:02:00  fps 2480
[ETA] step 1,710,000 / 2,000,000 (85.5%)  elapsed 11.5m  ETA 00:01:56  fps 2485
[ETA] step 1,720,000 / 2,000,000 (86.0%)  elapsed 11.5m  ETA 00:01:52  fps 2489
[ETA] step 1,730,000 / 2,000,000 (86.5%)  elapsed 11.6m  ETA 00:01:48  fps 2493
[ETA] step 1,740,000 / 2,000,000 (87.0%)  elapsed 11.6m  ETA 00:01:44  fps 2496
[ETA] step 1,750,000 / 2,000,000 (87.5%)  elapsed 11.7m  ETA 00:01:40  fps 2500
[ETA] step 1,760,000 / 2,000,000 (88.0%)  elapsed 11.7m  ETA 00:01:35  fps 2503
[ETA] step 1,770,000 / 2,000,000 (88.5%)  elapsed 11.8m  ETA 00:01:31  fps 2507
[ETA] step 1,780,000 / 2,000,000 (89.0%)  elapsed 11.8m  ETA 00:01:27  fps 2510
[ETA] step 1,790,000 / 2,000,000 (89.5%)  elapsed 11.9m  ETA 00:01:23  fps 2514
[ETA] step 1,800,000 / 2,000,000 (90.0%)  elapsed 11.9m  ETA 00:01:19  fps 2517
[ETA] step 1,810,000 / 2,000,000 (90.5%)  elapsed 12.0m  ETA 00:01:15  fps 2521
[ETA] step 1,820,000 / 2,000,000 (91.0%)  elapsed 12.0m  ETA 00:01:11  fps 2524
[ETA] step 1,830,000 / 2,000,000 (91.5%)  elapsed 12.1m  ETA 00:01:07  fps 2528
[ETA] step 1,840,000 / 2,000,000 (92.0%)  elapsed 12.1m  ETA 00:01:03  fps 2531
[ETA] step 1,850,000 / 2,000,000 (92.5%)  elapsed 12.2m  ETA 00:00:59  fps 2534
[ETA] step 1,860,000 / 2,000,000 (93.0%)  elapsed 12.2m  ETA 00:00:55  fps 2538
